915.3593 	EXP 	longbabyloc: status = NOT_STARTED
915.3603 	EXP 	window1: mouseVisible = True
915.3703 	EXP 	Created waiting_for_trigger_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='waiting_for_trigger_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Waiting for trigger (t)...', units='pix', win=Window(...), wrapWidth=500)
915.3707 	EXP 	window1: mouseVisible = True
915.3724 	EXP 	Created countdown = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='countdown', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='pix', win=Window(...), wrapWidth=500)
915.3726 	EXP 	window1: mouseVisible = True
915.4600 	EXP 	window1: mouseVisible = True
915.6026 	EXP 	window1: mouseVisible = True
915.6932 	EXP 	window1: mouseVisible = True
915.7987 	EXP 	window1: mouseVisible = True
915.9113 	EXP 	window1: mouseVisible = True
916.0078 	EXP 	window1: mouseVisible = True
916.1234 	EXP 	window1: mouseVisible = True
916.3827 	EXP 	window1: mouseVisible = True
916.5462 	EXP 	window1: mouseVisible = True
916.6528 	EXP 	window1: mouseVisible = True
916.7449 	EXP 	window1: mouseVisible = True
916.8260 	EXP 	window1: mouseVisible = True
916.9063 	EXP 	window1: mouseVisible = True
916.9928 	EXP 	window1: mouseVisible = True
917.0715 	EXP 	window1: mouseVisible = True
917.1486 	EXP 	window1: mouseVisible = True
917.2266 	EXP 	window1: mouseVisible = True
917.3321 	EXP 	window1: mouseVisible = True
917.4099 	EXP 	window1: mouseVisible = True
917.5068 	EXP 	window1: mouseVisible = True
917.5819 	EXP 	window1: mouseVisible = True
917.6693 	EXP 	window1: mouseVisible = True
917.7425 	EXP 	window1: mouseVisible = True
917.8246 	EXP 	window1: mouseVisible = True
917.9158 	EXP 	window1: mouseVisible = True
918.0109 	EXP 	window1: mouseVisible = True
918.1146 	EXP 	window1: mouseVisible = True
918.2162 	EXP 	window1: mouseVisible = True
918.3109 	EXP 	window1: mouseVisible = True
918.4113 	EXP 	window1: mouseVisible = True
918.5068 	EXP 	window1: mouseVisible = True
918.6105 	EXP 	window1: mouseVisible = True
918.7030 	EXP 	window1: mouseVisible = True
918.7923 	EXP 	window1: mouseVisible = True
918.8973 	EXP 	window1: mouseVisible = True
919.0036 	EXP 	window1: mouseVisible = True
919.0971 	EXP 	window1: mouseVisible = True
919.1799 	EXP 	window1: mouseVisible = True
