Block #,Onset-time(s),Category,TaskMatch,Image Name,Image Path
1,0.000000,0,blank,blank-81.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-81.jpg
1,0.500000,0,blank,blank-82.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-82.jpg
1,1.000000,0,blank,blank-83.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-83.jpg
1,1.500000,0,blank,blank-84.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-84.jpg
1,2.000000,0,blank,blank-85.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-85.jpg
1,2.500000,0,blank,blank-86.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-86.jpg
1,3.000000,0,blank,blank-87.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-87.jpg
1,3.500000,0,blank,blank-88.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-88.jpg
2,4.000000,1,faces,faces-81.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-81.jpg
2,4.500000,1,faces,faces-82.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-82.jpg
2,5.000000,1,faces,faces-83.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-83.jpg
2,5.500000,1,faces,faces-84.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-84.jpg
2,6.000000,1,faces,faces-85.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-85.jpg
2,6.500000,1,faces,faces-86.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-86.jpg
2,7.000000,1,faces,faces-87.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-87.jpg
2,7.500000,1,faces,faces-88.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-88.jpg
3,8.000000,2,hands,hands-81.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-81.jpg
3,8.500000,2,hands,hands-82.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-82.jpg
3,9.000000,2,hands,hands-83.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-83.jpg
3,9.500000,2,hands,hands-84.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-84.jpg
3,10.000000,2,hands,hands-85.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-85.jpg
3,10.500000,2,hands,hands-86.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-86.jpg
3,11.000000,2,hands,hands-87.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-87.jpg
3,11.500000,2,hands,hands-88.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-88.jpg
4,12.000000,4,scenes,scenes-81.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-81.jpg
4,12.500000,4,scenes,scenes-82.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-82.jpg
4,13.000000,4,scenes,scenes-83.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-83.jpg
4,13.500000,4,scenes,scenes-84.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-84.jpg
4,14.000000,4,scenes,scenes-85.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-85.jpg
4,14.500000,4,scenes,scenes-86.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-86.jpg
4,15.000000,4,scenes,scenes-87.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-87.jpg
4,15.500000,4,scenes,scenes-88.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-88.jpg
5,16.000000,0,blank,blank-89.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-89.jpg
5,16.500000,0,blank,blank-90.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-90.jpg
5,17.000000,0,blank,blank-91.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-91.jpg
5,17.500000,0,blank,blank-92.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-92.jpg
5,18.000000,0,blank,blank-93.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-93.jpg
5,18.500000,0,blank,blank-94.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-94.jpg
5,19.000000,0,blank,blank-95.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-95.jpg
5,19.500000,0,blank,blank-96.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-96.jpg
6,20.000000,3,cars,cars-81.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-81.jpg
6,20.500000,3,cars,cars-82.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-82.jpg
6,21.000000,3,cars,cars-83.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-83.jpg
6,21.500000,3,cars,cars-84.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-84.jpg
