Block #,Onset-time(s),Category,TaskMatch,Image Name,Image Path
1,0.000000,0,blank,blank-129.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-129.jpg
1,0.500000,0,blank,blank-130.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-130.jpg
1,1.000000,0,blank,blank-131.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-131.jpg
1,1.500000,0,blank,blank-132.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-132.jpg
1,2.000000,0,blank,blank-133.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-133.jpg
1,2.500000,0,blank,blank-134.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-134.jpg
1,3.000000,0,blank,blank-135.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-135.jpg
1,3.500000,0,blank,blank-136.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-136.jpg
2,4.000000,2,hands,hands-129.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-129.jpg
2,4.500000,2,hands,hands-130.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-130.jpg
2,5.000000,2,hands,hands-131.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-131.jpg
2,5.500000,2,hands,hands-132.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-132.jpg
2,6.000000,2,hands,hands-133.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-133.jpg
2,6.500000,2,hands,hands-134.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-134.jpg
