Block #,Onset-time(s),Category,TaskMatch,Image Name,Image Path
1,0.000000,0,blank,blank-17.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-17.jpg
1,0.500000,0,blank,blank-18.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-18.jpg
1,1.000000,0,blank,blank-19.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-19.jpg
1,1.500000,0,blank,blank-20.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-20.jpg
1,2.000000,0,blank,blank-21.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-21.jpg
1,2.500000,0,blank,blank-22.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-22.jpg
1,3.000000,0,blank,blank-23.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-23.jpg
1,3.500000,0,blank,blank-24.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-24.jpg
2,4.000000,3,cars,cars-17.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-17.jpg
2,4.500000,3,cars,cars-18.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-18.jpg
2,5.000000,3,cars,cars-19.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-19.jpg
2,5.500000,3,cars,cars-20.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-20.jpg
2,6.000000,3,cars,cars-21.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-21.jpg
2,6.500000,3,cars,cars-22.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-22.jpg
2,7.000000,3,cars,cars-23.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-23.jpg
2,7.500000,3,cars,cars-24.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-24.jpg
3,8.000000,1,faces,faces-17.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-17.jpg
3,8.500000,1,faces,faces-18.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-18.jpg
3,9.000000,1,faces,faces-19.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-19.jpg
3,9.500000,1,faces,faces-20.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-20.jpg
3,10.000000,1,faces,faces-21.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-21.jpg
3,10.500000,1,faces,faces-22.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-22.jpg
3,11.000000,1,faces,faces-23.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-23.jpg
3,11.500000,1,faces,faces-24.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-24.jpg
4,12.000000,4,scenes,scenes-17.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-17.jpg
4,12.500000,4,scenes,scenes-18.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-18.jpg
4,13.000000,4,scenes,scenes-19.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-19.jpg
4,13.500000,4,scenes,scenes-20.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-20.jpg
4,14.000000,4,scenes,scenes-21.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-21.jpg
4,14.500000,4,scenes,scenes-22.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-22.jpg
4,15.000000,4,scenes,scenes-23.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-23.jpg
4,15.500000,4,scenes,scenes-24.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-24.jpg
5,16.000000,0,blank,blank-25.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-25.jpg
5,16.500000,0,blank,blank-26.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-26.jpg
5,17.000000,0,blank,blank-27.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-27.jpg
5,17.500000,0,blank,blank-28.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-28.jpg
5,18.000000,0,blank,blank-29.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-29.jpg
5,18.500000,0,blank,blank-30.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-30.jpg
5,19.000000,0,blank,blank-31.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-31.jpg
5,19.500000,0,blank,blank-32.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-32.jpg
6,20.000000,2,hands,hands-17.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-17.jpg
6,20.500000,2,hands,hands-18.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-18.jpg
6,21.000000,2,hands,hands-19.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-19.jpg
6,21.500000,2,hands,hands-20.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-20.jpg
6,22.000000,2,hands,hands-21.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-21.jpg
6,22.500000,2,hands,hands-22.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-22.jpg
6,23.000000,2,hands,hands-23.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-23.jpg
6,23.500000,2,hands,hands-24.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-24.jpg
7,24.000000,4,scenes,scenes-25.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-25.jpg
7,24.500000,4,scenes,scenes-26.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-26.jpg
7,25.000000,4,scenes,scenes-27.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-27.jpg
7,25.500000,4,scenes,scenes-28.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-28.jpg
7,26.000000,4,scenes,scenes-29.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-29.jpg
7,26.500000,4,scenes,scenes-30.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-30.jpg
7,27.000000,4,scenes,scenes-31.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-31.jpg
7,27.500000,4,scenes,scenes-32.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-32.jpg
8,28.000000,1,faces,faces-25.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-25.jpg
8,28.500000,1,faces,faces-26.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-26.jpg
8,29.000000,1,faces,faces-27.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-27.jpg
8,29.500000,1,faces,faces-28.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-28.jpg
8,30.000000,1,faces,faces-29.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-29.jpg
8,30.500000,1,faces,faces-30.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-30.jpg
8,31.000000,1,faces,faces-31.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-31.jpg
8,31.500000,1,faces,faces-32.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-32.jpg
9,32.000000,0,blank,blank-33.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-33.jpg
9,32.500000,0,blank,blank-34.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-34.jpg
9,33.000000,0,blank,blank-35.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-35.jpg
9,33.500000,0,blank,blank-36.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-36.jpg
9,34.000000,0,blank,blank-37.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-37.jpg
