Block #,Onset-time(s),Category,TaskMatch,Image Name,Image Path
1,0.000000,0,blank,blank-97.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-97.jpg
1,0.500000,0,blank,blank-98.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-98.jpg
1,1.000000,0,blank,blank-99.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-99.jpg
1,1.500000,0,blank,blank-100.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-100.jpg
1,2.000000,0,blank,blank-101.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-101.jpg
1,2.500000,0,blank,blank-102.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-102.jpg
1,3.000000,0,blank,blank-103.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-103.jpg
1,3.500000,0,blank,blank-104.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-104.jpg
2,4.000000,4,scenes,scenes-97.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-97.jpg
2,4.500000,4,scenes,scenes-98.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-98.jpg
2,5.000000,4,scenes,scenes-99.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-99.jpg
2,5.500000,4,scenes,scenes-100.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-100.jpg
2,6.000000,4,scenes,scenes-101.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-101.jpg
2,6.500000,4,scenes,scenes-102.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-102.jpg
2,7.000000,4,scenes,scenes-103.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-103.jpg
2,7.500000,4,scenes,scenes-104.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-104.jpg
3,8.000000,2,hands,hands-97.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-97.jpg
3,8.500000,2,hands,hands-98.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-98.jpg
3,9.000000,2,hands,hands-99.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-99.jpg
3,9.500000,2,hands,hands-100.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-100.jpg
3,10.000000,2,hands,hands-101.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-101.jpg
3,10.500000,2,hands,hands-102.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-102.jpg
3,11.000000,2,hands,hands-103.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-103.jpg
3,11.500000,2,hands,hands-104.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-104.jpg
4,12.000000,0,blank,blank-105.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-105.jpg
4,12.500000,0,blank,blank-106.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-106.jpg
4,13.000000,0,blank,blank-107.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-107.jpg
4,13.500000,0,blank,blank-108.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-108.jpg
4,14.000000,0,blank,blank-109.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-109.jpg
4,14.500000,0,blank,blank-110.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-110.jpg
4,15.000000,0,blank,blank-111.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-111.jpg
4,15.500000,0,blank,blank-112.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-112.jpg
5,16.000000,1,faces,faces-97.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-97.jpg
5,16.500000,1,faces,faces-98.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-98.jpg
5,17.000000,1,faces,faces-99.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-99.jpg
5,17.500000,1,faces,faces-100.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-100.jpg
5,18.000000,1,faces,faces-101.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-101.jpg
5,18.500000,1,faces,faces-102.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-102.jpg
5,19.000000,1,faces,faces-103.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-103.jpg
5,19.500000,1,faces,faces-104.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-104.jpg
6,20.000000,3,cars,cars-97.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-97.jpg
6,20.500000,3,cars,cars-98.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-98.jpg
6,21.000000,3,cars,cars-99.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-99.jpg
6,21.500000,3,cars,cars-100.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-100.jpg
6,22.000000,3,cars,cars-101.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-101.jpg
6,22.500000,3,cars,cars-102.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-102.jpg
6,23.000000,3,cars,cars-103.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-103.jpg
6,23.500000,3,cars,cars-104.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-104.jpg
7,24.000000,0,blank,blank-113.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-113.jpg
7,24.500000,0,blank,blank-114.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-114.jpg
7,25.000000,0,blank,blank-115.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-115.jpg
7,25.500000,0,blank,blank-116.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-116.jpg
7,26.000000,0,blank,blank-117.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-117.jpg
7,26.500000,0,blank,blank-118.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-118.jpg
7,27.000000,0,blank,blank-119.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-119.jpg
7,27.500000,0,blank,blank-120.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-120.jpg
8,28.000000,2,hands,hands-105.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-105.jpg
8,28.500000,2,hands,hands-106.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-106.jpg
8,29.000000,2,hands,hands-107.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-107.jpg
8,29.500000,2,hands,hands-108.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-108.jpg
8,30.000000,2,hands,hands-109.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-109.jpg
8,30.500000,2,hands,hands-110.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-110.jpg
8,31.000000,2,hands,hands-111.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-111.jpg
8,31.500000,2,hands,hands-112.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-112.jpg
9,32.000000,4,scenes,scenes-105.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-105.jpg
9,32.500000,4,scenes,scenes-106.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-106.jpg
9,33.000000,4,scenes,scenes-107.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-107.jpg
9,33.500000,4,scenes,scenes-108.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-108.jpg
9,34.000000,4,scenes,scenes-109.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-109.jpg
9,34.500000,4,scenes,scenes-110.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-110.jpg
9,35.000000,4,scenes,scenes-111.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-111.jpg
9,35.500000,4,scenes,scenes-112.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-112.jpg
10,36.000000,1,faces,faces-105.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-105.jpg
10,36.500000,1,faces,faces-106.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-106.jpg
10,37.000000,1,faces,faces-107.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-107.jpg
10,37.500000,1,faces,faces-108.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-108.jpg
10,38.000000,1,faces,faces-109.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-109.jpg
10,38.500000,1,faces,faces-110.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-110.jpg
10,39.000000,1,faces,faces-111.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-111.jpg
10,39.500000,1,faces,faces-112.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-112.jpg
11,40.000000,3,cars,cars-105.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-105.jpg
11,40.500000,3,cars,cars-106.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-106.jpg
11,41.000000,3,cars,cars-107.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-107.jpg
11,41.500000,3,cars,cars-108.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-108.jpg
11,42.000000,3,cars,cars-109.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-109.jpg
11,42.500000,3,cars,cars-110.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-110.jpg
11,43.000000,3,cars,cars-111.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-111.jpg
11,43.500000,3,cars,cars-112.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-112.jpg
12,44.000000,0,blank,blank-121.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-121.jpg
12,44.500000,0,blank,blank-122.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-122.jpg
12,45.000000,0,blank,blank-123.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-123.jpg
12,45.500000,0,blank,blank-124.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-124.jpg
12,46.000000,0,blank,blank-125.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-125.jpg
12,46.500000,0,blank,blank-126.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-126.jpg
12,47.000000,0,blank,blank-127.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-127.jpg
12,47.500000,0,blank,blank-128.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-128.jpg
13,48.000000,2,hands,hands-113.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-113.jpg
13,48.500000,2,hands,hands-114.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-114.jpg
13,49.000000,2,hands,hands-115.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-115.jpg
13,49.500000,2,hands,hands-116.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-116.jpg
13,50.000000,2,hands,hands-117.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-117.jpg
13,50.500000,2,hands,hands-118.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-118.jpg
13,51.000000,2,hands,hands-119.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-119.jpg
13,51.500000,2,hands,hands-120.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-120.jpg
14,52.000000,3,cars,cars-113.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-113.jpg
14,52.500000,3,cars,cars-114.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-114.jpg
14,53.000000,3,cars,cars-115.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-115.jpg
14,53.500000,3,cars,cars-116.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-116.jpg
14,54.000000,3,cars,cars-117.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-117.jpg
14,54.500000,3,cars,cars-118.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-118.jpg
14,55.000000,3,cars,cars-119.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-119.jpg
14,55.500000,3,cars,cars-120.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-120.jpg
15,56.000000,4,scenes,scenes-113.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-113.jpg
15,56.500000,4,scenes,scenes-114.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-114.jpg
15,57.000000,4,scenes,scenes-115.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-115.jpg
15,57.500000,4,scenes,scenes-116.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-116.jpg
15,58.000000,4,scenes,scenes-117.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-117.jpg
15,58.500000,4,scenes,scenes-118.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-118.jpg
15,59.000000,4,scenes,scenes-119.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-119.jpg
15,59.500000,4,scenes,scenes-120.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-120.jpg
16,60.000000,1,faces,faces-113.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-113.jpg
16,60.500000,1,faces,faces-114.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-114.jpg
16,61.000000,1,faces,faces-115.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-115.jpg
16,61.500000,1,faces,faces-116.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-116.jpg
16,62.000000,1,faces,faces-117.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-117.jpg
16,62.500000,1,faces,faces-118.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-118.jpg
16,63.000000,1,faces,faces-119.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-119.jpg
16,63.500000,1,faces,faces-120.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/faces-120.jpg
17,64.000000,3,cars,cars-121.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-121.jpg
17,64.500000,3,cars,cars-122.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-122.jpg
17,65.000000,3,cars,cars-123.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-123.jpg
17,65.500000,3,cars,cars-124.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-124.jpg
17,66.000000,3,cars,cars-125.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-125.jpg
17,66.500000,3,cars,cars-126.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-126.jpg
17,67.000000,3,cars,cars-127.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-127.jpg
17,67.500000,3,cars,cars-128.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/cars-128.jpg
18,68.000000,4,scenes,scenes-121.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-121.jpg
18,68.500000,4,scenes,scenes-122.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-122.jpg
18,69.000000,4,scenes,scenes-123.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-123.jpg
18,69.500000,4,scenes,scenes-124.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-124.jpg
18,70.000000,4,scenes,scenes-125.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-125.jpg
18,70.500000,4,scenes,scenes-126.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-126.jpg
18,71.000000,4,scenes,scenes-127.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-127.jpg
18,71.500000,4,scenes,scenes-128.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/scenes-128.jpg
19,72.000000,2,hands,hands-121.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-121.jpg
19,72.500000,2,hands,hands-122.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-122.jpg
19,73.000000,2,hands,hands-123.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-123.jpg
19,73.500000,2,hands,hands-124.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-124.jpg
19,74.000000,2,hands,hands-125.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-125.jpg
19,74.500000,2,hands,hands-126.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-126.jpg
19,75.000000,2,hands,hands-127.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-127.jpg
19,75.500000,2,hands,hands-128.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/hands-128.jpg
20,76.000000,0,blank,blank-129.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-129.jpg
20,76.500000,0,blank,blank-130.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-130.jpg
20,77.000000,0,blank,blank-131.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-131.jpg
20,77.500000,0,blank,blank-132.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-132.jpg
20,78.000000,0,blank,blank-133.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-133.jpg
20,78.500000,0,blank,blank-134.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-134.jpg
20,79.000000,0,blank,blank-135.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-135.jpg
20,79.500000,0,blank,blank-136.jpg,/Users/vpnl/Desktop/alternating_bb/alternating_stimuli/static_stimuli/blank-136.jpg
